age_group_id,age_group_name,location_id,location_name,measure_id,measure_name,metric_id,metric_name,sex_id,sex,year_id,year_name,cause_id,cause_name
20,75 to 79,44,Bosnia and Herzegovina,,,,,,,1999,1999,328,Upper respiratory infections
21,80 plus,45,Bulgaria,,,,,,,2000,2000,329,Otitis media
22,All Ages,46,Croatia,,,,,,,2001,2001,957,Enteric infections
23,5-14 years,47,Czech Republic,,,,,,,2002,2002,302,Diarrheal diseases
24,15-49 years,48,Hungary,,,,,,,2003,2003,958,Typhoid and paratyphoid
25,50-69 years,49,Macedonia,,,,,,,2004,2004,319,Typhoid fever
26,70+ years,50,Montenegro,,,,,,,2005,2005,320,Paratyphoid fever
27,Age-standardized,51,Poland,,,,,,,2006,2006,959,Invasive Non-typhoidal Salmonella (iNTS)
28,<1 year,52,Romania,,,,,,,2007,2007,321,Other intestinal infectious diseases
30,80 to 84,53,Serbia,,,,,,,2008,2008,344,Neglected tropical diseases and malaria
31,85 to 89,54,Slovakia,,,,,,,2009,2009,345,Malaria
32,90 to 94,55,Slovenia,,,,,,,2010,2010,346,Chagas disease
42,Neonatal,56,Eastern Europe,,,,,,,2011,2011,347,Leishmaniasis
157,25 plus,57,Belarus,,,,,,,2012,2012,348,Visceral leishmaniasis
158,<20 years,58,Estonia,,,,,,,2013,2013,350,African trypanosomiasis
159,10 to 24,59,Latvia,,,,,,,2014,2014,351,Schistosomiasis
162,10 to 19,60,Lithuania,,,,,,,2015,2015,352,Cysticercosis
163,20 to 64,61,Moldova,,,,,,,2016,2016,353,Cystic echinococcosis
169,10 to 54,62,Russian Federation,,,,,,,2017,2017,357,Dengue
188,5 to 19,63,Ukraine,,,,,,,,,358,Yellow fever
235,95 plus,64,High-income,,,,,,,,,359,Rabies
,,70,Australasia,,,,,,,,,360,Intestinal nematode infections
,,71,Australia,,,,,,,,,361,Ascariasis
,,72,New Zealand,,,,,,,,,843,Ebola
,,65,High-income Asia Pacific,,,,,,,,,935,Zika virus
,,66,Brunei,,,,,,,,,365,Other neglected tropical diseases
,,67,Japan,,,,,,,,,961,Other infectious diseases
,,35446,Aichi,,,,,,,,,332,Meningitis
,,35428,Akita,,,,,,,,,333,Pneumococcal meningitis
,,35425,Aomori,,,,,,,,,334,H influenzae type B meningitis
,,35435,Chiba,,,,,,,,,335,Meningococcal meningitis
,,35461,Ehime,,,,,,,,,336,Other meningitis
,,35441,Fukui,,,,,,,,,337,Encephalitis
,,35463,Fukuoka,,,,,,,,,338,Diphtheria
,,35430,Fukushima,,,,,,,,,339,Whooping cough
,,35444,Gifu,,,,,,,,,340,Tetanus
,,35433,Gunma,,,,,,,,,341,Measles
,,35457,Hiroshima,,,,,,,,,342,Varicella and herpes zoster
,,35424,Hokkaid_,,,,,,,,,400,Acute hepatitis
,,35451,Hy_go,,,,,,,,,401,Acute hepatitis A
,,35431,Ibaraki,,,,,,,,,402,Acute hepatitis B
,,35440,Ishikawa,,,,,,,,,403,Acute hepatitis C
,,35426,Iwate,,,,,,,,,404,Acute hepatitis E
,,35460,Kagawa,,,,,,,,,408,Other unspecified infectious diseases
,,35469,Kagoshima,,,,,,,,,962,Maternal and neonatal disorders
,,35437,Kanagawa,,,,,,,,,366,Maternal disorders
,,35462,K_chi,,,,,,,,,367,Maternal hemorrhage
,,35466,Kumamoto,,,,,,,,,368,Maternal sepsis and other maternal infections
,,35449,Ky_to,,,,,,,,,369,Maternal hypertensive disorders
,,35447,Mie,,,,,,,,,370,Maternal obstructed labor and uterine rupture
,,35427,Miyagi,,,,,,,,,995,Maternal abortion and miscarriage
,,35468,Miyazaki,,,,,,,,,374,Ectopic pregnancy
,,35443,Nagano,,,,,,,,,375,Indirect maternal deaths
,,35465,Nagasaki,,,,,,,,,376,Late maternal deaths
,,35452,Nara,,,,,,,,,741,Maternal deaths aggravated by HIV/AIDS
,,35438,Niigata,,,,,,,,,379,Other maternal disorders
,,35467,_ita,,,,,,,,,380,Neonatal disorders
,,35456,Okayama,,,,,,,,,381,Neonatal preterm birth
,,35470,Okinawa,,,,,,,,,382,Neonatal encephalopathy due to birth asphyxia and trauma
,,35450,_saka,,,,,,,,,383,Neonatal sepsis and other neonatal infections
,,35464,Saga,,,,,,,,,384,Hemolytic disease and other neonatal jaundice
,,35434,Saitama,,,,,,,,,385,Other neonatal disorders
,,35448,Shiga,,,,,,,,,386,Nutritional deficiencies
,,35455,Shimane,,,,,,,,,387,Protein-energy malnutrition
,,35445,Shizuoka,,,,,,,,,391,Other nutritional deficiencies
,,35432,Tochigi,,,,,,,,,409,Non-communicable diseases
,,35459,Tokushima,,,,,,,,,410,Neoplasms
,,35436,T_ky_,,,,,,,,,444,Lip and oral cavity cancer
,,35454,Tottori,,,,,,,,,447,Nasopharynx cancer
,,35439,Toyama,,,,,,,,,450,Other pharynx cancer
,,35453,Wakayama,,,,,,,,,411,Esophageal cancer
,,35429,Yamagata,,,,,,,,,414,Stomach cancer
,,35458,Yamaguchi,,,,,,,,,441,Colon and rectum cancer
,,35442,Yamanashi,,,,,,,,,417,Liver cancer
,,68,South Korea,,,,,,,,,418,Liver cancer due to hepatitis B
,,69,Singapore,,,,,,,,,419,Liver cancer due to hepatitis C
,,100,High-income North America,,,,,,,,,420,Liver cancer due to alcohol use
,,101,Canada,,,,,,,,,996,Liver cancer due to NASH
,,349,Greenland,,,,,,,,,421,Liver cancer due to other causes
,,102,United States,,,,,,,,,453,Gallbladder and biliary tract cancer
,,523,Alabama,,,,,,,,,456,Pancreatic cancer
,,524,Alaska,,,,,,,,,423,Larynx cancer
,,525,Arizona,,,,,,,,,426,"Tracheal, bronchus, and lung cancer"
,,526,Arkansas,,,,,,,,,459,Malignant skin melanoma
,,527,California,,,,,,,,,462,Non-melanoma skin cancer
,,528,Colorado,,,,,,,,,849,Non-melanoma skin cancer (squamous-cell carcinoma)
,,529,Connecticut,,,,,,,,,429,Breast cancer
,,530,Delaware,,,,,,,,,432,Cervical cancer
,,531,District of Columbia,,,,,,,,,435,Uterine cancer
,,532,Florida,,,,,,,,,465,Ovarian cancer
,,533,Georgia,,,,,,,,,438,Prostate cancer
,,534,Hawaii,,,,,,,,,468,Testicular cancer
,,535,Idaho,,,,,,,,,471,Kidney cancer
,,536,Illinois,,,,,,,,,474,Bladder cancer
,,537,Indiana,,,,,,,,,477,Brain and nervous system cancer
,,538,Iowa,,,,,,,,,480,Thyroid cancer
,,539,Kansas,,,,,,,,,483,Mesothelioma
,,540,Kentucky,,,,,,,,,484,Hodgkin lymphoma
,,541,Louisiana,,,,,,,,,485,Non-Hodgkin lymphoma
,,542,Maine,,,,,,,,,486,Multiple myeloma
,,543,Maryland,,,,,,,,,487,Leukemia
,,544,Massachusetts,,,,,,,,,845,Acute lymphoid leukemia
,,545,Michigan,,,,,,,,,846,Chronic lymphoid leukemia
,,546,Minnesota,,,,,,,,,847,Acute myeloid leukemia
,,547,Mississippi,,,,,,,,,848,Chronic myeloid leukemia
,,548,Missouri,,,,,,,,,943,Other leukemia
,,549,Montana,,,,,,,,,489,Other malignant neoplasms
,,550,Nebraska,,,,,,,,,490,Other neoplasms
,,551,Nevada,,,,,,,,,964,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms"
,,552,New Hampshire,,,,,,,,,967,Other benign and in situ neoplasms
,,553,New Jersey,,,,,,,,,491,Cardiovascular diseases
,,554,New Mexico,,,,,,,,,492,Rheumatic heart disease
,,555,New York,,,,,,,,,493,Ischemic heart disease
,,556,North Carolina,,,,,,,,,494,Stroke
,,557,North Dakota,,,,,,,,,495,Ischemic stroke
,,558,Ohio,,,,,,,,,496,Intracerebral hemorrhage
,,559,Oklahoma,,,,,,,,,497,Subarachnoid hemorrhage
,,560,Oregon,,,,,,,,,498,Hypertensive heart disease
,,561,Pennsylvania,,,,,,,,,504,Non-rheumatic valvular heart disease
,,562,Rhode Island,,,,,,,,,968,Non-rheumatic calcific aortic valve disease
,,563,South Carolina,,,,,,,,,969,Non-rheumatic degenerative mitral valve disease
,,564,South Dakota,,,,,,,,,970,Other non-rheumatic valve diseases
,,565,Tennessee,,,,,,,,,499,Cardiomyopathy and myocarditis
,,566,Texas,,,,,,,,,942,Myocarditis
,,567,Utah,,,,,,,,,938,Alcoholic cardiomyopathy
,,568,Vermont,,,,,,,,,944,Other cardiomyopathy
,,569,Virginia,,,,,,,,,500,Atrial fibrillation and flutter
,,570,Washington,,,,,,,,,501,Aortic aneurysm
,,571,West Virginia,,,,,,,,,502,Peripheral artery disease
,,572,Wisconsin,,,,,,,,,503,Endocarditis
,,573,Wyoming,,,,,,,,,507,Other cardiovascular and circulatory diseases
,,96,Southern Latin America,,,,,,,,,508,Chronic respiratory diseases
,,97,Argentina,,,,,,,,,509,Chronic obstructive pulmonary disease
,,98,Chile,,,,,,,,,510,Pneumoconiosis
,,99,Uruguay,,,,,,,,,511,Silicosis
,,73,Western Europe,,,,,,,,,512,Asbestosis
,,74,Andorra,,,,,,,,,513,Coal workers pneumoconiosis
,,75,Austria,,,,,,,,,514,Other pneumoconiosis
,,76,Belgium,,,,,,,,,515,Asthma
,,77,Cyprus,,,,,,,,,516,Interstitial lung disease and pulmonary sarcoidosis
,,78,Denmark,,,,,,,,,520,Other chronic respiratory diseases
,,79,Finland,,,,,,,,,526,Digestive diseases
,,80,France,,,,,,,,,521,Cirrhosis and other chronic liver diseases
,,81,Germany,,,,,,,,,522,Cirrhosis and other chronic liver diseases due to hepatitis B
,,82,Greece,,,,,,,,,523,Cirrhosis and other chronic liver diseases due to hepatitis C
,,83,Iceland,,,,,,,,,524,Cirrhosis and other chronic liver diseases due to alcohol use
,,84,Ireland,,,,,,,,,971,Cirrhosis due to NASH
,,85,Israel,,,,,,,,,525,Cirrhosis and other chronic liver diseases due to other causes
,,86,Italy,,,,,,,,,992,Upper digestive system diseases
,,87,Luxembourg,,,,,,,,,527,Peptic ulcer disease
,,88,Malta,,,,,,,,,528,Gastritis and duodenitis
,,89,Netherlands,,,,,,,,,529,Appendicitis
,,90,Norway,,,,,,,,,530,Paralytic ileus and intestinal obstruction
,,91,Portugal,,,,,,,,,531,"Inguinal, femoral, and abdominal hernia"
,,92,Spain,,,,,,,,,532,Inflammatory bowel disease
,,93,Sweden,,,,,,,,,533,Vascular intestinal disorders
,,4944,Stockholm,,,,,,,,,534,Gallbladder and biliary diseases
,,4940,Sweden except Stockholm,,,,,,,,,535,Pancreatitis
,,94,Switzerland,,,,,,,,,541,Other digestive diseases
,,95,United Kingdom,,,,,,,,,542,Neurological disorders
,,4749,England,,,,,,,,,543,Alzheimer's disease and other dementias
,,4621,East Midlands,,,,,,,,,544,Parkinson's disease
,,44697,Derby,,,,,,,,,545,Epilepsy
,,44698,Derbyshire,,,,,,,,,546,Multiple sclerosis
,,44701,Leicester,,,,,,,,,554,Motor neuron disease
,,44694,Leicestershire,,,,,,,,,557,Other neurological disorders
,,44695,Lincolnshire,,,,,,,,,558,Mental disorders
,,44693,Northamptonshire,,,,,,,,,572,Eating disorders
,,44700,Nottingham,,,,,,,,,573,Anorexia nervosa
,,44699,Nottinghamshire,,,,,,,,,574,Bulimia nervosa
,,44696,Rutland,,,,,,,,,973,Substance use disorders
,,4623,East of England,,,,,,,,,560,Alcohol use disorders
,,44716,Bedford,,,,,,,,,561,Drug use disorders
,,44721,Cambridgeshire,,,,,,,,,562,Opioid use disorders
,,44717,Central Bedfordshire,,,,,,,,,563,Cocaine use disorders
,,44720,Essex,,,,,,,,,564,Amphetamine use disorders
,,44719,Hertfordshire,,,,,,,,,566,Other drug use disorders
,,44726,Luton,,,,,,,,,974,Diabetes and kidney diseases
,,44723,Norfolk,,,,,,,,,587,Diabetes mellitus
,,44725,Peterborough,,,,,,,,,975,Diabetes mellitus type 1
,,44724,Southend-on-Sea,,,,,,,,,976,Diabetes mellitus type 2
,,44718,Suffolk,,,,,,,,,589,Chronic kidney disease
,,44722,Thurrock,,,,,,,,,997,Chronic kidney disease due to diabetes mellitus type 1
,,4624,Greater London,,,,,,,,,998,Chronic kidney disease due to diabetes mellitus type 2
,,44754,Barking and Dagenham,,,,,,,,,591,Chronic kidney disease due to hypertension
,,44729,Barnet,,,,,,,,,592,Chronic kidney disease due to glomerulonephritis
,,44732,Bexley,,,,,,,,,593,Chronic kidney disease due to other and unspecified causes
,,44735,Brent,,,,,,,,,588,Acute glomerulonephritis
,,44731,Bromley,,,,,,,,,653,Skin and subcutaneous diseases
,,44748,Camden,,,,,,,,,980,Bacterial skin diseases
,,44742,Croydon,,,,,,,,,656,Cellulitis
,,44744,Ealing,,,,,,,,,657,Pyoderma
,,44741,Enfield,,,,,,,,,665,Decubitus ulcer
,,44745,Greenwich,,,,,,,,,668,Other skin and subcutaneous diseases
,,44756,Hackney,,,,,,,,,626,Musculoskeletal disorders
,,44743,Hammersmith and Fulham,,,,,,,,,627,Rheumatoid arthritis
,,44755,Haringey,,,,,,,,,639,Other musculoskeletal disorders
,,44740,Harrow,,,,,,,,,640,Other non-communicable diseases
,,44737,Havering,,,,,,,,,641,Congenital birth defects
,,44736,Hillingdon,,,,,,,,,642,Neural tube defects
,,44751,Hounslow,,,,,,,,,643,Congenital heart anomalies
,,44757,Islington,,,,,,,,,644,Orofacial clefts
,,44728,Kensington and Chelsea,,,,,,,,,645,Down syndrome
,,44738,Kingston upon Thames,,,,,,,,,648,Other chromosomal abnormalities
,,44749,Lambeth,,,,,,,,,649,Congenital musculoskeletal and limb anomalies
,,44750,Lewisham,,,,,,,,,650,Urogenital congenital anomalies
,,44734,Merton,,,,,,,,,651,Digestive congenital anomalies
,,44753,Newham,,,,,,,,,652,Other congenital birth defects
,,44733,Redbridge,,,,,,,,,594,Urinary diseases and male infertility
,,44727,Richmond upon Thames,,,,,,,,,595,Urinary tract infections
,,44752,Southwark,,,,,,,,,596,Urolithiasis
,,44739,Sutton,,,,,,,,,602,Other urinary diseases
,,44758,Tower Hamlets,,,,,,,,,603,Gynecological diseases
,,44747,Waltham Forest,,,,,,,,,604,Uterine fibroids
,,44746,Wandsworth,,,,,,,,,605,Polycystic ovarian syndrome
,,44730,Westminster,,,,,,,,,607,Endometriosis
,,4618,North East England,,,,,,,,,608,Genital prolapse
,,44649,County Durham,,,,,,,,,612,Other gynecological diseases
,,44643,Darlington,,,,,,,,,613,Hemoglobinopathies and hemolytic anemias
,,44650,Gateshead,,,,,,,,,614,Thalassemias
,,44654,Hartlepool,,,,,,,,,615,Sickle cell disorders
,,44651,Middlesbrough,,,,,,,,,616,G6PD deficiency
,,44646,Newcastle upon Tyne,,,,,,,,,618,Other hemoglobinopathies and hemolytic anemias
,,44647,North Tyneside,,,,,,,,,619,"Endocrine, metabolic, blood, and immune disorders"
,,44644,Northumberland,,,,,,,,,686,Sudden infant death syndrome
,,44648,Redcar and Cleveland,,,,,,,,,687,Injuries
,,44652,South Tyneside,,,,,,,,,688,Transport injuries
,,44645,Stockton-on-Tees,,,,,,,,,689,Road injuries
,,44653,Sunderland,,,,,,,,,690,Pedestrian road injuries
,,4619,North West England,,,,,,,,,691,Cyclist road injuries
,,44674,Blackburn with Darwen,,,,,,,,,692,Motorcyclist road injuries
,,44676,Blackpool,,,,,,,,,693,Motor vehicle road injuries
,,44662,Bolton,,,,,,,,,694,Other road injuries
,,44664,Bury,,,,,,,,,695,Other transport injuries
,,44655,Cheshire East,,,,,,,,,696,Unintentional injuries
,,44658,Cheshire West and Chester,,,,,,,,,697,Falls
,,44661,Cumbria,,,,,,,,,698,Drowning
,,44670,Halton,,,,,,,,,699,"Fire, heat, and hot substances"
,,44675,Knowsley,,,,,,,,,700,Poisonings
,,44660,Lancashire,,,,,,,,,701,Poisoning by carbon monoxide
,,44671,Liverpool,,,,,,,,,703,Poisoning by other means
,,44677,Manchester,,,,,,,,,704,Exposure to mechanical forces
,,44667,Oldham,,,,,,,,,705,Unintentional firearm injuries
,,44668,Rochdale,,,,,,,,,707,Other exposure to mechanical forces
,,44673,Salford,,,,,,,,,708,Adverse effects of medical treatment
,,44659,Sefton,,,,,,,,,709,Animal contact
,,44665,St Helens,,,,,,,,,710,Venomous animal contact
,,44656,Stockport,,,,,,,,,711,Non-venomous animal contact
,,44672,Tameside,,,,,,,,,712,Foreign body
,,44657,Trafford,,,,,,,,,713,Pulmonary aspiration and foreign body in airway
,,44666,Warrington,,,,,,,,,715,Foreign body in other body part
,,44669,Wigan,,,,,,,,,842,Environmental heat and cold exposure
,,44663,Wirral,,,,,,,,,729,Exposure to forces of nature
,,4625,South East England,,,,,,,,,716,Other unintentional injuries
,,44765,Bracknell Forest,,,,,,,,,717,Self-harm and interpersonal violence
,,44770,Brighton and Hove,,,,,,,,,718,Self-harm
,,44760,Buckinghamshire,,,,,,,,,721,Self-harm by firearm
,,44772,East Sussex,,,,,,,,,723,Self-harm by other specified means
,,44764,Hampshire,,,,,,,,,724,Interpersonal violence
,,44774,Isle of Wight,,,,,,,,,725,Physical violence by firearm
,,44769,Kent,,,,,,,,,726,Physical violence by sharp object
,,44771,Medway,,,,,,,,,727,Physical violence by other means
,,44775,Milton Keynes,,,,,,,,,945,Conflict and terrorism
,,44767,Oxfordshire,,,,,,,,,854,Executions and police conflict
,,44773,Portsmouth,,,,,,,,,,
,,44768,Reading,,,,,,,,,,
,,44777,Slough,,,,,,,,,,
,,44776,Southampton,,,,,,,,,,
,,44761,Surrey,,,,,,,,,,
,,44763,West Berkshire,,,,,,,,,,
,,44766,West Sussex,,,,,,,,,,
,,44762,Windsor and Maidenhead,,,,,,,,,,
,,44759,Wokingham,,,,,,,,,,
,,4626,South West England,,,,,,,,,,
,,44784,Bath and North East Somerset,,,,,,,,,,
,,44790,Bournemouth,,,,,,,,,,
,,44789,"Bristol, City of",,,,,,,,,,
,,44791,Cornwall,,,,,,,,,,
,,44782,Devon,,,,,,,,,,
,,44779,Dorset,,,,,,,,,,
,,44785,Gloucestershire,,,,,,,,,,
,,44781,North Somerset,,,,,,,,,,
,,44792,Plymouth,,,,,,,,,,
,,44783,Poole,,,,,,,,,,
,,44786,Somerset,,,,,,,,,,
,,44778,South Gloucestershire,,,,,,,,,,
,,44787,Swindon,,,,,,,,,,
,,44788,Torbay,,,,,,,,,,
,,44780,Wiltshire,,,,,,,,,,
,,4622,West Midlands,,,,,,,,,,
,,44714,Birmingham,,,,,,,,,,
,,44709,Coventry,,,,,,,,,,
,,44708,Dudley,,,,,,,,,,
,,44703,"Herefordshire, County of",,,,,,,,,,
,,44715,Sandwell,,,,,,,,,,
,,44705,Shropshire,,,,,,,,,,
,,44704,Solihull,,,,,,,,,,
,,44707,Staffordshire,,,,,,,,,,
,,44711,Stoke-on-Trent,,,,,,,,,,
,,44710,Telford and Wrekin,,,,,,,,,,
,,44712,Walsall,,,,,,,,,,
,,44702,Warwickshire,,,,,,,,,,
,,44713,Wolverhampton,,,,,,,,,,
,,44706,Worcestershire,,,,,,,,,,
,,4620,Yorkshire and the Humber,,,,,,,,,,
,,44692,Barnsley,,,,,,,,,,
,,44684,Bradford,,,,,,,,,,
,,44682,Calderdale,,,,,,,,,,
,,44690,Doncaster,,,,,,,,,,
,,44679,East Riding of Yorkshire,,,,,,,,,,
,,44691,"Kingston upon Hull, City of",,,,,,,,,,
,,44685,Kirklees,,,,,,,,,,
,,44686,Leeds,,,,,,,,,,
,,44681,North East Lincolnshire,,,,,,,,,,
,,44683,North Lincolnshire,,,,,,,,,,
,,44678,North Yorkshire,,,,,,,,,,
,,44689,Rotherham,,,,,,,,,,
,,44687,Sheffield,,,,,,,,,,
,,44688,Wakefield,,,,,,,,,,
,,44680,York,,,,,,,,,,
,,433,Northern Ireland,,,,,,,,,,
,,434,Scotland,,,,,,,,,,
,,4636,Wales,,,,,,,,,,
,,103,Latin America and Caribbean,,,,,,,,,,
,,120,Andean Latin America,,,,,,,,,,
,,121,Bolivia,,,,,,,,,,
,,122,Ecuador,,,,,,,,,,
,,123,Peru,,,,,,,,,,
,,104,Caribbean,,,,,,,,,,
,,105,Antigua and Barbuda,,,,,,,,,,
,,106,The Bahamas,,,,,,,,,,
,,107,Barbados,,,,,,,,,,
,,108,Belize,,,,,,,,,,
,,305,Bermuda,,,,,,,,,,
,,109,Cuba,,,,,,,,,,
,,110,Dominica,,,,,,,,,,
,,111,Dominican Republic,,,,,,,,,,
,,112,Grenada,,,,,,,,,,
,,113,Guyana,,,,,,,,,,
,,114,Haiti,,,,,,,,,,
,,115,Jamaica,,,,,,,,,,
,,385,Puerto Rico,,,,,,,,,,
,,116,Saint Lucia,,,,,,,,,,
,,117,Saint Vincent and the Grenadines,,,,,,,,,,
,,118,Suriname,,,,,,,,,,
,,119,Trinidad and Tobago,,,,,,,,,,
,,422,"Virgin Islands, U.S.",,,,,,,,,,
,,124,Central Latin America,,,,,,,,,,
,,125,Colombia,,,,,,,,,,
,,126,Costa Rica,,,,,,,,,,
,,127,El Salvador,,,,,,,,,,
,,128,Guatemala,,,,,,,,,,
,,129,Honduras,,,,,,,,,,
,,130,Mexico,,,,,,,,,,
,,4643,Aguascalientes,,,,,,,,,,
,,4644,Baja California,,,,,,,,,,
,,4645,Baja California Sur,,,,,,,,,,
,,4646,Campeche,,,,,,,,,,
,,4649,Chiapas,,,,,,,,,,
,,4650,Chihuahua,,,,,,,,,,
,,4647,Coahuila,,,,,,,,,,
,,4648,Colima,,,,,,,,,,
,,4652,Durango,,,,,,,,,,
,,4653,Guanajuato,,,,,,,,,,
,,4654,Guerrero,,,,,,,,,,
,,4655,Hidalgo,,,,,,,,,,
,,4656,Jalisco,,,,,,,,,,
,,4657,MŽxico,,,,,,,,,,
,,4651,Mexico City,,,,,,,,,,
,,4658,Michoac‡n de Ocampo,,,,,,,,,,
,,4659,Morelos,,,,,,,,,,
,,4660,Nayarit,,,,,,,,,,
,,4661,Nuevo Le—n,,,,,,,,,,
,,4662,Oaxaca,,,,,,,,,,
,,4663,Puebla,,,,,,,,,,
,,4664,QuerŽtaro,,,,,,,,,,
,,4665,Quintana Roo,,,,,,,,,,
,,4666,San Luis Potos’,,,,,,,,,,
,,4667,Sinaloa,,,,,,,,,,
,,4668,Sonora,,,,,,,,,,
,,4669,Tabasco,,,,,,,,,,
,,4670,Tamaulipas,,,,,,,,,,
,,4671,Tlaxcala,,,,,,,,,,
,,4672,Veracruz de Ignacio de la Llave,,,,,,,,,,
,,4673,Yucat‡n,,,,,,,,,,
,,4674,Zacatecas,,,,,,,,,,
,,131,Nicaragua,,,,,,,,,,
,,132,Panama,,,,,,,,,,
,,133,Venezuela,,,,,,,,,,
,,134,Tropical Latin America,,,,,,,,,,
,,135,Brazil,,,,,,,,,,
,,4750,Acre,,,,,,,,,,
,,4751,Alagoas,,,,,,,,,,
,,4753,Amap‡,,,,,,,,,,
,,4752,Amazonas,,,,,,,,,,
,,4754,Bahia,,,,,,,,,,
,,4755,Cear‡,,,,,,,,,,
,,4756,Distrito Federal,,,,,,,,,,
,,4757,Esp’rito Santo,,,,,,,,,,
,,4758,Goi‡s,,,,,,,,,,
,,4759,Maranh‹o,,,,,,,,,,
,,4762,Mato Grosso,,,,,,,,,,
,,4761,Mato Grosso do Sul,,,,,,,,,,
,,4760,Minas Gerais,,,,,,,,,,
,,4763,Par‡,,,,,,,,,,
,,4764,Para’ba,,,,,,,,,,
,,4765,Paran‡,,,,,,,,,,
,,4766,Pernambuco,,,,,,,,,,
,,4767,Piaui,,,,,,,,,,
,,4768,Rio de Janeiro,,,,,,,,,,
,,4769,Rio Grande do Norte,,,,,,,,,,
,,4772,Rio Grande do Sul,,,,,,,,,,
,,4770,Rond™nia,,,,,,,,,,
,,4771,Roraima,,,,,,,,,,
,,4773,Santa Catarina,,,,,,,,,,
,,4775,S‹o Paulo,,,,,,,,,,
,,4774,Sergipe,,,,,,,,,,
,,4776,Tocantins,,,,,,,,,,
,,136,Paraguay,,,,,,,,,,
,,137,North Africa and Middle East,,,,,,,,,,
,,138,North Africa and Middle East,,,,,,,,,,
,,160,Afghanistan,,,,,,,,,,
,,139,Algeria,,,,,,,,,,
,,140,Bahrain,,,,,,,,,,
,,141,Egypt,,,,,,,,,,
,,142,Iran,,,,,,,,,,
,,143,Iraq,,,,,,,,,,
,,144,Jordan,,,,,,,,,,
,,145,Kuwait,,,,,,,,,,
,,146,Lebanon,,,,,,,,,,
,,147,Libya,,,,,,,,,,
,,148,Morocco,,,,,,,,,,
,,149,Palestine,,,,,,,,,,
,,150,Oman,,,,,,,,,,
,,151,Qatar,,,,,,,,,,
,,152,Saudi Arabia,,,,,,,,,,
,,522,Sudan,,,,,,,,,,
,,153,Syria,,,,,,,,,,
,,154,Tunisia,,,,,,,,,,
,,155,Turkey,,,,,,,,,,
,,156,United Arab Emirates,,,,,,,,,,
,,157,Yemen,,,,,,,,,,
,,158,South Asia,,,,,,,,,,
,,159,South Asia,,,,,,,,,,
,,161,Bangladesh,,,,,,,,,,
,,162,Bhutan,,,,,,,,,,
,,163,India,,,,,,,,,,
,,164,Nepal,,,,,,,,,,
,,165,Pakistan,,,,,,,,,,
,,4,"Southeast Asia, East Asia, and Oceania",,,,,,,,,,
,,5,East Asia,,,,,,,,,,
,,6,China,,,,,,,,,,
,,7,North Korea,,,,,,,,,,
,,8,Taiwan,,,,,,,,,,
,,21,Oceania,,,,,,,,,,
,,298,American Samoa,,,,,,,,,,
,,25,Federated States of Micronesia,,,,,,,,,,
,,22,Fiji,,,,,,,,,,
,,351,Guam,,,,,,,,,,
,,23,Kiribati,,,,,,,,,,
,,24,Marshall Islands,,,,,,,,,,
,,376,Northern Mariana Islands,,,,,,,,,,
,,26,Papua New Guinea,,,,,,,,,,
,,27,Samoa,,,,,,,,,,
